日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,600519,-107.77,-109.31,-107.77,-109.79,44305,753405635.0,-1.85,0.08,0.09,0.47
2010-01-05,600519,-108.52,-109.69,-108.14,-110.02,31513,535720422.0,-1.72,-0.35,-0.38,0.33
2010-01-06,600519,-110.03,-111.7,-109.64,-112.04,39889,666073283.0,-2.19,-1.83,-2.01,0.42
2010-01-07,600519,-111.7,-113.99,-111.38,-115.37,48826,801445269.0,-3.57,-2.05,-2.29,0.52
2010-01-08,600519,-113.78,-115.28,-113.78,-116.71,36702,593162176.0,-2.57,-1.13,-1.29,0.39
2010-01-11,600519,-114.08,-115.81,-113.1,-116.41,24461,395563861.0,-2.87,-0.46,-0.53,0.26
2010-01-12,600519,-115.69,-112.54,-112.15,-116.32,31063,509373871.0,-3.6,2.82,3.27,0.33
2010-01-13,600519,-113.78,-115.7,-112.91,-116.03,37924,621261800.0,-2.77,-2.81,-3.16,0.4
2010-01-14,600519,-115.28,-110.37,-109.87,-115.28,46455,775471608.0,-4.68,4.61,5.33,0.49
2010-01-15,600519,-110.39,-109.37,-106.73,-110.39,45939,788328964.0,-3.32,0.91,1.0,0.49
2010-01-18,600519,-109.27,-108.53,-107.57,-109.34,21462,368485894.0,-1.62,0.77,0.84,0.23
2010-01-19,600519,-108.52,-109.44,-108.14,-109.64,17819,302797491.0,-1.38,-0.84,-0.91,0.19
2010-01-20,600519,-109.34,-112.33,-109.16,-112.42,20973,353315689.0,-2.98,-2.64,-2.89,0.22
2010-01-21,600519,-112.38,-111.73,-110.49,-112.65,17257,287779661.0,-1.92,0.53,0.6,0.18
2010-01-22,600519,-111.82,-113.68,-111.3,-115.36,25433,416305093.0,-3.63,-1.75,-1.95,0.27
2010-01-25,600519,-113.89,-112.24,-111.3,-114.9,23239,385581318.0,-3.17,1.27,1.44,0.25
2010-01-26,600519,-110.57,-111.75,-109.14,-113.33,32889,553152669.0,-3.73,0.44,0.49,0.35
2010-01-27,600519,-112.25,-113.79,-110.94,-114.08,19317,320765897.0,-2.81,-1.83,-2.04,0.2
2010-01-28,600519,-113.88,-109.87,-109.01,-114.15,30268,507716302.0,-4.52,3.44,3.92,0.32
2010-01-29,600519,-109.31,-110.37,-109.12,-111.01,37173,628192888.0,-1.72,-0.46,-0.5,0.39
2010-02-01,600519,-110.11,-110.1,-109.58,-111.51,29656,499867002.0,-1.75,0.24,0.27,0.31
2010-02-02,600519,-110.77,-111.88,-109.27,-112.06,15494,260426281.0,-2.53,-1.62,-1.78,0.16
2010-02-03,600519,-112.12,-112.33,-110.7,-113.63,23035,382974414.0,-2.62,-0.4,-0.45,0.24
2010-02-04,600519,-112.35,-110.32,-109.83,-112.93,22475,376703449.0,-2.76,1.79,2.01,0.24
2010-02-05,600519,-111.06,-108.33,-107.86,-111.52,26234,445744684.0,-3.32,1.8,1.99,0.28
2010-02-08,600519,-108.33,-108.34,-105.06,-108.88,31496,548228595.0,-3.53,-0.01,-0.01,0.33
2010-02-09,600519,-107.77,-108.43,-106.77,-108.87,14151,243172993.0,-1.94,-0.08,-0.09,0.15
2010-02-10,600519,-107.77,-107.89,-107.32,-108.74,6398,109830207.0,-1.31,0.5,0.54,0.07
2010-02-11,600519,-107.92,-106.73,-105.93,-108.07,14945,259254548.0,-1.98,1.08,1.16,0.16
2010-02-12,600519,-106.29,-106.95,-106.11,-107.62,9346,161899961.0,-1.41,-0.21,-0.22,0.1
2010-02-22,600519,-107.01,-109.96,-106.94,-109.97,12178,207127846.0,-2.83,-2.81,-3.01,0.13
2010-02-23,600519,-109.83,-111.71,-108.89,-113.25,23562,391601201.0,-3.97,-1.59,-1.75,0.25
2010-02-24,600519,-111.7,-110.83,-110.32,-112.65,9904,165405133.0,-2.09,0.79,0.88,0.1
2010-02-25,600519,-111.6,-110.58,-109.27,-111.6,15314,258220826.0,-2.1,0.23,0.25,0.16
2010-02-26,600519,-110.03,-111.64,-110.03,-111.82,10339,173028879.0,-1.62,-0.96,-1.06,0.11
2010-03-01,600519,-111.94,-112.09,-111.18,-112.28,21735,361550327.0,-0.99,-0.4,-0.45,0.23
2010-03-02,600519,-111.82,-112.57,-111.68,-113.1,17182,284524248.0,-1.27,-0.43,-0.48,0.18
2010-03-03,600519,-112.28,-112.53,-112.09,-113.08,14233,235470730.0,-0.88,0.04,0.04,0.15
2010-03-04,600519,-112.26,-112.92,-111.63,-113.78,14169,234440689.0,-1.91,-0.35,-0.39,0.15
2010-03-05,600519,-112.91,-113.47,-112.69,-113.57,9771,160821083.0,-0.78,-0.49,-0.55,0.1
2010-03-08,600519,-113.42,-114.39,-113.04,-114.68,23259,380034354.0,-1.45,-0.81,-0.92,0.25
